                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3945,                 3.6051,                  4.191,                0.00311,                0.34496,                0.01349,                0.00473,                 2.9366,                 3.7267,                 4.1578,                0.00012,                0.00012,                0.00012
                      2,                 3.2266,                 3.3521,                 4.1161,                0.00303,                0.33721,                 0.0983,                0.03177,                 2.9338,                 3.7327,                 4.1522,             0.00025743,             0.00025743,             0.00025743
                      3,                 3.4928,                 3.2815,                 3.9845,                0.00308,                0.34496,                0.00966,                0.00347,                 2.9317,                 3.7234,                 4.1444,             0.00039208,             0.00039208,             0.00039208
                      4,                 3.1349,                 3.1964,                 3.9486,                0.00317,                0.35659,                0.03205,                0.00892,                 2.9298,                 3.7218,                 4.1356,             0.00052396,             0.00052396,             0.00052396
                      5,                 3.0594,                 3.1109,                 3.7995,                0.00303,                0.34109,                 0.0068,                0.00255,                 2.9332,                 3.6999,                 4.1361,             0.00065307,             0.00065307,             0.00065307
                      6,                 3.0058,                 3.0088,                 3.6964,                0.01958,                0.24031,                 0.0296,                0.01096,                 2.9054,                 3.8618,                 3.9912,             0.00077941,             0.00077941,             0.00077941
                      7,                 2.8086,                 3.0369,                 3.5519,                0.07086,                0.15116,                0.02931,                0.01058,                 2.9155,                 6.2192,                 3.9541,             0.00090298,             0.00090298,             0.00090298
                      8,                 2.6741,                 2.9972,                  3.438,                0.04515,                0.10465,                 0.0147,                0.00511,                 3.0525,                 55.843,                  5.117,              0.0010238,              0.0010238,              0.0010238
                      9,                 2.6873,                 2.7974,                 3.3516,                0.01037,                0.23256,                0.03064,                  0.009,                 3.0931,                 104.72,                 4.9951,              0.0011418,              0.0011418,              0.0011418
                     10,                   2.68,                 2.8584,                 3.3443,                0.03766,                0.20543,                 0.0207,                0.00659,                 2.9442,                 19.941,                  4.508,               0.001257,               0.001257,               0.001257
                     11,                 2.6073,                  2.583,                 3.1393,                0.06331,                0.27907,                0.02912,                 0.0102,                  3.028,                 13.386,                 4.4417,              0.0013695,              0.0013695,              0.0013695
                     12,                 2.4308,                  2.519,                 3.0666,                0.06265,                0.22481,                0.03537,                0.01278,                 2.7131,                 13.989,                 4.1173,              0.0014792,              0.0014792,              0.0014792
                     13,                 2.2653,                 2.3503,                 2.8878,                0.08791,                0.25194,                0.04754,                0.01844,                 2.4708,                 10.506,                 3.8171,              0.0015862,              0.0015862,              0.0015862
                     14,                 2.2774,                 2.3586,                 2.8542,                0.05018,                0.34109,                0.03416,                0.01189,                 2.4791,                 14.699,                 3.8007,              0.0016903,              0.0016903,              0.0016903
                     15,                 2.2668,                 2.4071,                 2.8471,                0.03046,                 0.2907,                0.01651,                0.00547,                 2.6673,                 17.967,                 3.7489,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.3676,                 2.5083,                 2.9374,                0.05211,                0.10465,                0.03242,                0.01176,                 2.7013,                 33.744,                 4.4319,               0.001703,               0.001703,               0.001703
                     17,                 2.1582,                 2.3424,                 2.7123,                0.02367,                0.24031,                0.01859,                0.00733,                 2.3876,                 78.953,                 4.2105,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.1943,                 2.3728,                 2.7806,                0.07639,                0.61628,                0.22488,                0.10143,                 2.0449,                 56.031,                 4.0968,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.1574,                 2.3057,                 2.6603,                0.32912,                0.50959,                0.43122,                0.22835,                 1.7859,                 15.005,                 3.1839,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.0205,                 2.2092,                 2.5383,                0.20424,                0.25969,                0.15057,                0.07041,                 1.9056,                 10.004,                 3.0051,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.0028,                 2.0802,                  2.545,                0.30111,                0.35659,                0.23526,                0.11723,                 1.7926,                 5.9655,                 2.8524,               0.001604,               0.001604,               0.001604
                     22,                 2.0968,                 2.2483,                 2.6391,                0.35058,                0.39535,                0.26717,                0.12685,                 1.8251,                 4.0796,                 2.7914,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.0837,                 2.1241,                 2.5134,                0.50128,                0.32558,                 0.3271,                0.17205,                 1.8744,                 3.9855,                 2.7527,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.0861,                 2.2288,                 2.7093,                0.76622,                0.35271,                0.46229,                0.16674,                 2.0847,                 3.7143,                 2.8645,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.0477,                  1.976,                 2.4596,                0.77422,                0.40698,                0.55539,                0.26714,                  1.879,                 3.5476,                 2.7069,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.9456,                 1.9244,                 2.4687,                0.77148,                0.45736,                0.62646,                0.33579,                 1.7536,                 2.5442,                 2.6194,               0.001505,               0.001505,               0.001505
                     27,                 2.0108,                  2.007,                 2.4934,                 0.6295,                0.46899,                0.56994,                0.30972,                 1.7584,                  3.236,                 2.6972,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.0231,                 2.1274,                  2.584,                0.63341,                0.32171,                0.39863,                0.22729,                  1.883,                 4.9032,                 2.7035,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.9797,                 2.0676,                 2.5113,                0.58712,                0.38582,                0.44161,                0.21654,                 1.9038,                 4.2336,                 2.6312,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.8672,                 1.8558,                 2.3329,                0.64728,                0.32171,                0.44369,                0.23068,                 1.7383,                 2.0924,                 2.4324,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.8374,                 2.0475,                 2.4517,                0.36485,                0.44186,                0.42183,                0.23209,                 1.7909,                 2.2267,                 2.4885,               0.001406,               0.001406,               0.001406
                     32,                 1.7889,                 1.8638,                  2.301,                0.77872,                0.43798,                 0.6257,                0.36368,                 1.6914,                  2.462,                 2.4886,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.7073,                 1.5284,                 2.1368,                0.72219,                0.52396,                0.64422,                0.38522,                 1.7182,                 2.5665,                 2.5309,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.8575,                 1.7649,                 2.3099,                0.71446,                0.56251,                0.65629,                0.39676,                 1.6383,                 2.9283,                  2.439,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.7871,                 1.6844,                 2.2606,                0.59528,                0.61571,                0.65814,                0.38405,                 1.5904,                 2.4196,                 2.3038,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.7187,                 1.6997,                  2.157,                0.73899,                0.53772,                0.66527,                 0.3653,                 1.6663,                 2.1204,                 2.3347,               0.001307,               0.001307,               0.001307
                     37,                 1.6775,                 1.7677,                 2.1946,                0.69283,                0.51163,                0.64797,                0.39107,                 1.5548,                 2.2976,                  2.245,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.8206,                 1.8815,                 2.2712,                0.77628,                0.52453,                0.69507,                0.43648,                 1.4954,                 1.8455,                 2.2508,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.7181,                 1.9557,                 2.2864,                0.79194,                0.50775,                0.67819,                0.43671,                 1.4955,                 1.6528,                 2.2193,              0.0012476,              0.0012476,              0.0012476
                     40,                  1.824,                 1.8282,                 2.3168,                0.81651,                0.46899,                0.63534,                0.40613,                 1.5283,                 1.9661,                 2.2732,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.7602,                  1.925,                 2.3455,                0.73381,                0.51938,                0.65736,                0.42122,                 1.5352,                 1.7483,                 2.2914,               0.001208,               0.001208,               0.001208
                     42,                 1.6603,                 1.7481,                 2.1682,                0.69878,                 0.5485,                0.67929,                0.44672,                 1.4427,                 1.6176,                 2.1655,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.7154,                 1.7206,                 2.1846,                0.62663,                0.62403,                0.70257,                0.43516,                 1.4789,                  1.791,                 2.1633,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.6929,                 1.6835,                 2.1434,                0.65096,                0.43798,                0.55811,                0.28367,                 1.9653,                 2.5034,                 2.4852,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.7202,                 1.5174,                  2.101,                0.74857,                0.57752,                0.69795,                0.36002,                   1.76,                 1.9105,                 2.2825,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.6326,                 1.6725,                 2.1562,                0.70763,                0.68217,                0.76651,                0.49172,                  1.416,                 1.5834,                 2.0921,               0.001109,               0.001109,               0.001109
                     47,                  1.496,                 1.4081,                 1.9062,                0.69833,                0.68992,                0.76619,                  0.518,                 1.3281,                 1.4448,                 1.9977,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.5877,                 1.5387,                 2.0533,                0.71232,                0.56589,                0.72369,                0.45174,                 1.4423,                 1.6704,                 2.1042,              0.0010694,              0.0010694,              0.0010694
                     49,                  1.624,                   1.57,                 2.0714,                0.67304,                0.68605,                0.74681,                0.48228,                 1.4178,                 1.6199,                 2.1213,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.5998,                 1.5334,                 2.0728,                0.81544,                0.70213,                0.80267,                0.53774,                 1.3731,                 1.3891,                 2.0382,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.5133,                 1.4337,                 1.9873,                 0.7602,                0.68992,                0.79631,                0.52641,                  1.379,                 1.3751,                  2.036,                0.00101,                0.00101,                0.00101
                     52,                 1.5363,                   1.51,                 2.1113,                0.73614,                0.70543,                0.79323,                0.53087,                 1.3349,                  1.396,                  1.993,              0.0009902,              0.0009902,              0.0009902
                     53,                  1.602,                 1.6769,                 2.1451,                0.76665,                 0.6938,                0.80155,                 0.5246,                 1.3924,                 1.4257,                  2.036,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.4937,                 1.4795,                 2.0527,                0.73879,                 0.6468,                0.76196,                0.47354,                 1.5066,                 1.6484,                 2.1525,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.5541,                 1.4933,                 2.0499,                0.74815,                 0.7093,                0.78247,                0.48788,                 1.4603,                 1.5488,                 2.0995,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.5403,                 1.5022,                 2.0423,                0.75003,                0.72105,                0.82051,                0.55013,                 1.3204,                 1.2845,                 1.9713,               0.000911,               0.000911,               0.000911
                     57,                 1.5516,                  1.592,                 2.1141,                0.77459,                0.73256,                0.82144,                0.54687,                 1.3197,                 1.2583,                 1.9646,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.5543,                 1.5244,                   2.04,                0.77909,                0.72093,                0.83609,                0.57458,                 1.2915,                 1.2676,                 1.9503,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.4549,                 1.4068,                 1.9573,                 0.7732,                0.72481,                0.82222,                0.56649,                 1.2591,                  1.306,                 1.8966,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.4407,                 1.3653,                 1.9114,                0.76207,                0.73244,                0.82094,                0.56832,                 1.2532,                 1.2255,                 1.8791,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.6281,                 1.6496,                 2.1849,                0.71368,                0.81008,                0.82657,                0.55952,                 1.2883,                 1.2147,                 1.9015,               0.000812,               0.000812,               0.000812
                     62,                 1.3732,                 1.2487,                 1.8524,                0.79107,                0.79457,                0.84003,                0.58308,                 1.3045,                 1.1869,                 1.9389,              0.0007922,              0.0007922,              0.0007922
